Attack(degree)  Cl     Cd      Cm
    3.50     0.8900   0.0071  -0.1437
    4.00     0.9520   0.0073  -0.1448
    4.50     1.0130   0.0076  -0.1456
    5.00     1.0620   0.0079  -0.1445
    6.00     1.1610   0.0099  -0.1419
    6.50     1.2080   0.0117  -0.1403
    7.00     1.2540   0.0132  -0.1382
    7.50     1.3010   0.0143  -0.1362
    8.00     1.3360   0.0153  -0.1320
    8.50     1.3690   0.0165  -0.1276
    9.00     1.4000   0.0181  -0.1234
    9.50     1.4280   0.0211  -0.1193
   10.00     1.4420   0.0262  -0.1152
   10.50     1.4270   0.0336  -0.1115
   11.00     1.3740   0.0420  -0.1081
   11.50     1.3160   0.0515  -0.1052
   12.00     1.2770   0.0601  -0.1026
   12.50     1.2500   0.0693  -0.1000
   13.00     1.2460   0.0785  -0.0980
   13.50     1.2470   0.0888  -0.0969
   14.00     1.2560   0.1000  -0.0968
   14.50     1.2600   0.1108  -0.0973
   15.00     1.2710   0.1219  -0.0981
   15.50     1.2810   0.1325  -0.0992
   16.00     1.2890   0.1433  -0.1006
   16.50     1.2940   0.1541  -0.1023
   17.00     1.3040   0.1649  -0.1042
   17.50     1.3090   0.1754  -0.1064
   18.00     1.3150   0.1845  -0.1082
   18.50     1.3200   0.1953  -0.1110
   19.00     1.3300   0.2061  -0.1143
   19.50     1.3430   0.2170  -0.1179
   20.00     1.3540   0.2280  -0.1219
   20.50     1.3590   0.2390  -0.1261
   21.00     1.3600   0.2536  -0.1303
   22.00     1.3250   0.2814  -0.1375
   23.00     1.2880   0.3098  -0.1446
   24.00     1.2510   0.3386  -0.1515
   25.00     1.2150   0.3678  -0.1584
   26.00     1.1810   0.3972  -0.1651
   28.00     1.1200   0.4563  -0.1781
   30.00     1.0760   0.5149  -0.1904
   32.00     1.0560   0.5720  -0.2017
   35.00     1.0660   0.6548  -0.2173
   40.00     1.0640   0.7901  -0.2418
   45.00     1.0350   0.9190  -0.2650
   50.00     0.9800   1.0378  -0.2867
   55.00     0.9040   1.1434  -0.3072
   60.00     0.8100   1.2333  -0.3265
   65.00     0.7020   1.3055  -0.3446
   70.00     0.5820   1.3587  -0.3616
   75.00     0.4560   1.3922  -0.3775
   80.00     0.3260   1.4063  -0.3921
   85.00     0.1970   1.4042  -0.4057
   90.00     0.0720   1.3985  -0.4180
   95.00    -0.0500   1.3973  -0.4289
  100.00    -0.1700   1.3810  -0.4385
  105.00    -0.2870   1.3498  -0.4464
  110.00    -0.3990   1.3041  -0.4524
  115.00    -0.5020   1.2442  -0.4563
  120.00    -0.5960   1.1709  -0.4577
  125.00    -0.6770   1.0852  -0.4563
  130.00    -0.7430   0.9883  -0.4514
  135.00    -0.7920   0.8818  -0.4425
  140.00    -0.8210   0.7676  -0.4288
  145.00    -0.8260   0.6481  -0.4095
  150.00    -0.8060   0.5264  -0.3836
  155.00    -0.7580   0.4060  -0.3497
  160.00    -0.6790   0.2912  -0.3065
  170.00    -0.7350   0.0995  -0.3706
  175.00    -0.3680   0.0356  -0.1846
  180.00     0.0000   0.0202   0.0000
