Attack(degree)  Cl     Cd      Cm
   17.00     1.3210   0.1903  -0.1084
   17.50     1.3310   0.2044  -0.1125
   18.00     1.3330   0.2186  -0.1169
   18.50     1.3400   0.2324  -0.1215
   19.00     1.3620   0.2455  -0.1263
   19.50     1.3820   0.2584  -0.1313
   20.00     1.3980   0.2689  -0.1352
   20.50     1.4260   0.2814  -0.1406
   21.00     1.4370   0.2943  -0.1462
   22.00     1.4180   0.3246  -0.1516
   23.00     1.3970   0.3557  -0.1570
   24.00     1.3760   0.3875  -0.1623
   25.00     1.3540   0.4198  -0.1676
   26.00     1.3320   0.4524  -0.1728
   28.00     1.2930   0.5183  -0.1832
   30.00     1.2650   0.5843  -0.1935
   32.00     1.2530   0.6492  -0.2039
   35.00     1.2640   0.7438  -0.2193
   40.00     1.2580   0.8970  -0.2440
   45.00     1.2170   1.0402  -0.2672
   50.00     1.1460   1.1686  -0.2891
   55.00     1.0490   1.2779  -0.3097
   60.00     0.9320   1.3647  -0.3290
   65.00     0.7990   1.4267  -0.3471
   70.00     0.6570   1.4621  -0.3641
   75.00     0.5090   1.4708  -0.3799
   80.00     0.3620   1.4544  -0.3946
   85.00     0.2210   1.4196  -0.4081
   90.00     0.0920   1.3938  -0.4204
   95.00    -0.0300   1.3943  -0.4313
  100.00    -0.1500   1.3798  -0.4408
  105.00    -0.2670   1.3504  -0.4486
  110.00    -0.3790   1.3063  -0.4546
  115.00    -0.4830   1.2481  -0.4584
  120.00    -0.5780   1.1763  -0.4597
  125.00    -0.6600   1.0919  -0.4582
  130.00    -0.7270   0.9962  -0.4532
  135.00    -0.7770   0.8906  -0.4441
  140.00    -0.8070   0.7771  -0.4303
  145.00    -0.8150   0.6581  -0.4109
  150.00    -0.7970   0.5364  -0.3848
  155.00    -0.7500   0.4157  -0.3508
  160.00    -0.6730   0.3000  -0.3074
  170.00    -0.5470   0.1051  -0.2786
  175.00    -0.2740   0.0388  -0.1380
  180.00     0.0000   0.0267   0.0000
